229,00760020048401100457;;;0596;;04340457;;0073;;04340457;;0073;;,0792026103810071;;;0071;;021602800496;;;05610131;;;,072301440202070207020405;;0624;;0624;;;066008670035;;020207020309;;0624;;;;05070144020207020405;;0624;;;0660086705070405;;08780253;;0329;;0412;;;08780253;;0329;;,0847079306230075;;;067206230385;;;04880685;;;067206230085;;;04880685;;;,179-143-179-092-089-023-042-176-154-000-235-153-160-221-084
230,0076002008140110002007890073;;0422;;04340457;;0073;;;0596;;04340457;;0073;;00110636002007890073;;0422;;043404340457;;0073;;0073;;0643;;04340457;;0073;;,079202610071;;0071;;026103810540;;;0071;;,07230405;;020207020309;;0624;;;,0847079306230075;;;02750005;;;067208850075;;0187;;04880434;;;,179-143-179-092-089-023-042-176-154-000-235-153-160-221-084
35,0076002008140110002007890073;;0422;;04340457;;0073;;;0596;;04340457;;0073;;04340457;;0073;;,0792026103810071;;;0464;;021602800496;;;05610131;;;,072301440202070207020405;;0624;;0624;;;066008670035;;020207020309;;0624;;;;05070144020207020405;;0624;;;0660086705070405;;08780253;;0329;;0412;;;08780253;;0329;;,0847079306230075;;;067206230085;;;04880685;;;067206230085;;;04880685;;;,179-143-179-092-089-023-042-176-154-000-235-153-160-221-084
221,00760020048401100457;;;0370;;04340457;;0073;;00110636002007890073;;0422;;043404340457;;0073;;0073;;0643;;04340457;;0073;;,079202610071;;0071;;026103810540;;;0071;;,07230405;;020207020309;;0624;;;,08470793079306230075;;;01250075;;;02750005;;;0085;;,179-143-179-092-089-023-042-176-154-000-235-153-160-221-084
230,0076002008140110002007890073;;0422;;04340457;;0073;;;0596;;04340457;;0073;;04340457;;0073;;,0792026103810071;;;0071;;021602800496;;;05610131;;;,072301440202070207020405;;0624;;0624;;;066008670035;;0202070207020405;;0624;;0624;;;;05070144020207020405;;0624;;;0660086705070405;;08780253;;0329;;0412;;;08780253;;0329;;,0847079306230075;;;067206230085;;;04880685;;;067206230085;;;04880685;;;,179-143-179-092-089-023-042-176-154-000-235-153-160-221-084
201,0076002008140110002007890073;;0422;;04340457;;0073;;;0596;;04340411;;0073;;01050457;;0073;;,0792026103810071;;;0071;;021602800496;;;05610131;;;,07230144020207020309;;0624;;;066008670035;;020207020309;;0624;;;;05070144020207020405;;0624;;;0660086705070405;;08780253;;0329;;0412;;;08780253;;0329;;,084707930623086400020075;;;05800085;;;;01250075;;;067206230085;;;04880008;;;,179-143-179-092-089-023-042-176-154-000-235-153-160-221-084
215,007600200073;;04340457;;0073;;01050457;;0073;;,0792026103810697;;;0071;;021602800496;;;05610045;;;,072301440202070207020405;;0624;;0624;;;066008670035;;020207020309;;0624;;;;05070144020207020405;;0624;;;0660086705070405;;08780253;;0329;;0412;;;08780253;;0329;;,084707930623086400020075;;;05800085;;;;01250075;;;067206230085;;;04880685;;;,179-143-179-092-089-023-042-176-154-000-235-153-160-221-084
220,007606360020078908140110002007890073;;0422;;04340457;;0073;;;0596;;0422;;043406500457;;0073;;0073;;0643;;00110643;;04340457;;0073;;,0792026103810540;;;07360463;;0071;;0216026103810540;;;07360463;;0071;;05610131;;;,07230144020207020405;;0624;;;07020405;;0624;;05070405;;08780253;;08110691;;0192;;,088308640085;;05800075;;;067206230075;;;04880685;;;,179-143-179-092-089-023-042-176-154-000-235-153-160-221-084
206,0076002005190155;;0398;;0020081401100398;;;0596;;04340457;;0073;;0011063607890155;;081401100457;;;0596;;04340457;;0073;;04340457;;0073;;,0792026103810540;;;07360463;;0071;;0216026103810540;;;07360463;;0071;;05610131;;;,07230144020207020405;;07020405;;0624;;;066007020309;;0624;;;05070405;;08780253;;0329;;,0847086401250075;;;05800085;;;067206230075;;;04880685;;;,179-143-179-092-089-023-042-176-154-000-235-153-160-221-084
228,00760020048401100457;;;0370;;04030457;;0073;;00110636002007890073;;0422;;043404340457;;0073;;0073;;0643;;04340457;;0073;;,079202610071;;0071;;026103810540;;;0071;;,07230405;;007607020309;;0624;;;,08470793079306230075;;;01250085;;;02750005;;;0085;;,179-143-179-092-089-023-042-176-154-000-235-153-160-221-084
